source,target,weight,distance,electrode
e0_t254,e0_t255,0.2,1,FP1
e0_t15,e0_t25,0.0667,10,FP1
e0_t16,e0_t25,0.0667,9,FP1
e0_t18,e0_t24,0.0667,6,FP1
e0_t22,e0_t23,0.0667,1,FP1
e0_t28,e0_t32,0.0667,4,FP1
e0_t28,e0_t38,0.0667,10,FP1
e0_t33,e0_t38,0.0667,5,FP1
e0_t35,e0_t37,0.0667,2,FP1
e0_t39,e0_t111,0.0667,72,FP1
e0_t40,e0_t48,0.0667,8,FP1
e0_t41,e0_t46,0.0667,5,FP1
e0_t49,e0_t110,0.0667,61,FP1
e0_t56,e0_t60,0.0667,4,FP1
e0_t57,e0_t60,0.0667,3,FP1
e0_t66,e0_t94,0.0667,28,FP1
e0_t67,e0_t81,0.0667,14,FP1
e0_t67,e0_t94,0.0667,27,FP1
e0_t68,e0_t69,0.1333,1,FP1
e0_t68,e0_t72,0.0667,4,FP1
e0_t69,e0_t72,0.0667,3,FP1
e0_t75,e0_t80,0.0667,5,FP1
e0_t79,e0_t80,0.1333,1,FP1
e0_t81,e0_t82,0.1333,1,FP1
e0_t82,e0_t83,0.1333,1,FP1
e0_t82,e0_t87,0.0667,5,FP1
e0_t82,e0_t93,0.0667,11,FP1
e0_t83,e0_t86,0.0667,3,FP1
e0_t84,e0_t86,0.0667,2,FP1
e0_t87,e0_t93,0.0667,6,FP1
e0_t93,e0_t94,0.1333,1,FP1
e0_t95,e0_t96,0.1333,1,FP1
e0_t95,e0_t106,0.0667,11,FP1
